algo,iter,bitstring_size,val,time
rhc,1,10,8.0,0.046555624
rhc,2,10,8.0,0.046160404
rhc,3,10,9.0,0.031110951
rhc,4,10,8.0,0.020181166
rhc,5,10,9.0,0.023835661
rhc,6,10,9.0,0.027423769
rhc,7,10,8.0,0.015790497
rhc,8,10,7.0,0.015847384
rhc,9,10,8.0,0.01350388
rhc,10,10,9.0,0.020941748
rhc,11,10,8.0,0.019726523
rhc,12,10,7.0,0.020571084
rhc,13,10,8.0,0.038545451
rhc,14,10,7.0,0.057014089
rhc,15,10,7.0,0.027458774
rhc,16,10,8.0,0.026411504
rhc,17,10,9.0,0.018437324
rhc,18,10,7.0,0.016333834
rhc,19,10,8.0,0.032819757
rhc,20,10,7.0,0.021332448
rhc,21,10,8.0,0.017715752
rhc,22,10,7.0,0.020794025
rhc,23,10,7.0,0.015804092
rhc,24,10,8.0,0.030542998
rhc,25,10,8.0,0.036180368
rhc,26,10,8.0,0.035356462
rhc,27,10,7.0,0.040513692
rhc,28,10,9.0,0.035909555
rhc,29,10,8.0,0.015900304
rhc,30,10,8.0,0.013905912
sa,1,10,9.0,0.15242368
sa,2,10,9.0,0.138698529
sa,3,10,9.0,0.133363064
sa,4,10,9.0,0.133590283
sa,5,10,9.0,0.123061358
sa,6,10,9.0,0.124334733
sa,7,10,9.0,0.133479813
sa,8,10,9.0,0.1286016
sa,9,10,9.0,0.131004078
sa,10,10,9.0,0.124531892
sa,11,10,9.0,0.125345112
sa,12,10,9.0,0.120959847
sa,13,10,9.0,0.124873992
sa,14,10,9.0,0.120804825
sa,15,10,9.0,0.120315135
sa,16,10,9.0,0.121461554
sa,17,10,9.0,0.132923502
sa,18,10,9.0,0.140520402
sa,19,10,9.0,0.136377964
sa,20,10,9.0,0.1379904
sa,21,10,9.0,0.143040644
sa,22,10,9.0,0.139175233
sa,23,10,9.0,0.144859066
sa,24,10,9.0,0.147830341
sa,25,10,9.0,0.14226716
sa,26,10,9.0,0.141032326
sa,27,10,9.0,0.118459721
sa,28,10,9.0,0.116986246
sa,29,10,9.0,0.120135712
sa,30,10,9.0,0.126613255
ga,1,10,9.0,0.069617953
ga,2,10,9.0,0.057798983
ga,3,10,9.0,0.058208741
ga,4,10,9.0,0.060490107
ga,5,10,9.0,0.058525511
ga,6,10,9.0,0.064200175
ga,7,10,9.0,0.074318146
ga,8,10,9.0,0.044251518
ga,9,10,9.0,0.038121799
ga,10,10,9.0,0.037473457
ga,11,10,9.0,0.038885206
ga,12,10,9.0,0.037487001
ga,13,10,9.0,0.040162285
ga,14,10,9.0,0.038408569
ga,15,10,9.0,0.038110447
ga,16,10,9.0,0.038071596
ga,17,10,9.0,0.038316093
ga,18,10,9.0,0.041236093
ga,19,10,9.0,0.044082863
ga,20,10,9.0,0.042997277
ga,21,10,9.0,0.040029435
ga,22,10,9.0,0.040503041
ga,23,10,9.0,0.041226447
ga,24,10,9.0,0.042849576
ga,25,10,9.0,0.045011337
ga,26,10,9.0,0.040698706
ga,27,10,9.0,0.041515281
ga,28,10,9.0,0.042430439
ga,29,10,9.0,0.040742652
ga,30,10,9.0,0.045188609
mimic,1,10,9.0,0.280671397
mimic,2,10,9.0,0.199116442
mimic,3,10,9.0,0.194907185
mimic,4,10,9.0,0.189924491
mimic,5,10,9.0,0.190570483
mimic,6,10,9.0,0.225833817
mimic,7,10,9.0,0.199003539
mimic,8,10,9.0,0.216411658
mimic,9,10,9.0,0.208695324
mimic,10,10,9.0,0.220306458
mimic,11,10,9.0,0.206665815
mimic,12,10,9.0,0.196528916
mimic,13,10,9.0,0.17896812
mimic,14,10,9.0,0.185146295
mimic,15,10,9.0,0.181962058
mimic,16,10,9.0,0.185595809
mimic,17,10,9.0,0.187566396
mimic,18,10,9.0,0.182110372
mimic,19,10,9.0,0.181514461
mimic,20,10,9.0,0.180307906
mimic,21,10,8.0,0.181991584
mimic,22,10,9.0,0.192891433
mimic,23,10,8.0,0.193409635
mimic,24,10,9.0,0.182880647
mimic,25,10,9.0,0.192963727
mimic,26,10,9.0,0.186828488
mimic,27,10,9.0,0.180918484
mimic,28,10,9.0,0.179279002
mimic,29,10,9.0,0.185072564
mimic,30,10,9.0,0.205738382
rhc,1,25,20.0,0.019057856
rhc,2,25,21.0,0.016121612
rhc,3,25,19.0,0.016260092
rhc,4,25,23.0,0.016373395
rhc,5,25,21.0,0.017021346
rhc,6,25,20.0,0.015194206
rhc,7,25,19.0,0.015930412
rhc,8,25,18.0,0.015907978
rhc,9,25,19.0,0.016207711
rhc,10,25,19.0,0.016601226
rhc,11,25,19.0,0.015773714
rhc,12,25,19.0,0.01638629
rhc,13,25,21.0,0.016604928
rhc,14,25,22.0,0.017088117
rhc,15,25,20.0,0.019385474
rhc,16,25,18.0,0.017633617
rhc,17,25,20.0,0.017933678
rhc,18,25,20.0,0.017272864
rhc,19,25,21.0,0.016800519
rhc,20,25,20.0,0.016793344
rhc,21,25,20.0,0.017424222
rhc,22,25,21.0,0.016093979
rhc,23,25,18.0,0.016461192
rhc,24,25,21.0,0.016347073
rhc,25,25,20.0,0.015464213
rhc,26,25,21.0,0.017738938
rhc,27,25,21.0,0.017403686
rhc,28,25,22.0,0.017625861
rhc,29,25,20.0,0.016588657
rhc,30,25,21.0,0.01900203
sa,1,25,24.0,0.121085113
sa,2,25,24.0,0.12308559
sa,3,25,24.0,0.12086511
sa,4,25,24.0,0.116670398
sa,5,25,24.0,0.117364194
sa,6,25,24.0,0.117085205
sa,7,25,24.0,0.117401831
sa,8,25,24.0,0.116623231
sa,9,25,24.0,0.124015567
sa,10,25,24.0,0.123664209
sa,11,25,24.0,0.11892784
sa,12,25,24.0,0.114205325
sa,13,25,24.0,0.121538263
sa,14,25,24.0,0.116587148
sa,15,25,24.0,0.120179003
sa,16,25,24.0,0.125209423
sa,17,25,24.0,0.127198344
sa,18,25,24.0,0.116244905
sa,19,25,24.0,0.123193882
sa,20,25,24.0,0.128757221
sa,21,25,24.0,0.132560793
sa,22,25,24.0,0.128103724
sa,23,25,24.0,0.126426167
sa,24,25,24.0,0.127692769
sa,25,25,24.0,0.123187559
sa,26,25,24.0,0.124259194
sa,27,25,24.0,0.117181366
sa,28,25,24.0,0.127502814
sa,29,25,24.0,0.125911383
sa,30,25,24.0,0.134336203
ga,1,25,24.0,0.049643873
ga,2,25,23.0,0.052065338
ga,3,25,23.0,0.04945631
ga,4,25,22.0,0.051315449
ga,5,25,24.0,0.045693147
ga,6,25,22.0,0.0491435
ga,7,25,24.0,0.058485613
ga,8,25,23.0,0.050074969
ga,9,25,22.0,0.048673106
ga,10,25,24.0,0.055246758
ga,11,25,24.0,0.048828791
ga,12,25,23.0,0.048070949
ga,13,25,23.0,0.047492875
ga,14,25,24.0,0.050356948
ga,15,25,24.0,0.047802126
ga,16,25,24.0,0.054906522
ga,17,25,23.0,0.051744813
ga,18,25,23.0,0.052137244
ga,19,25,24.0,0.052582186
ga,20,25,22.0,0.049396454
ga,21,25,22.0,0.051115716
ga,22,25,23.0,0.050024535
ga,23,25,23.0,0.059196203
ga,24,25,23.0,0.059612499
ga,25,25,23.0,0.061560721
ga,26,25,22.0,0.062501085
ga,27,25,24.0,0.054581654
ga,28,25,22.0,0.059060551
ga,29,25,24.0,0.057079436
ga,30,25,24.0,0.054864208
mimic,1,25,22.0,0.593178382
mimic,2,25,23.0,0.581186973
mimic,3,25,23.0,0.575795098
mimic,4,25,22.0,0.598380745
mimic,5,25,23.0,0.564397639
mimic,6,25,24.0,0.550988293
mimic,7,25,23.0,0.555681121
mimic,8,25,23.0,0.548812908
mimic,9,25,23.0,0.5140552
mimic,10,25,24.0,0.540580853
mimic,11,25,24.0,0.595079643
mimic,12,25,23.0,0.544228447
mimic,13,25,22.0,0.589171002
mimic,14,25,24.0,0.544252838
mimic,15,25,23.0,0.527517051
mimic,16,25,23.0,0.524742822
mimic,17,25,23.0,0.601039136
mimic,18,25,24.0,0.578497689
mimic,19,25,22.0,0.593383839
mimic,20,25,23.0,0.524547535
mimic,21,25,22.0,0.538167297
mimic,22,25,23.0,0.511944568
mimic,23,25,22.0,0.524838993
mimic,24,25,21.0,0.509999485
mimic,25,25,23.0,0.509864717
mimic,26,25,23.0,0.514742595
mimic,27,25,23.0,0.523430139
mimic,28,25,23.0,0.533063313
mimic,29,25,23.0,0.520587543
mimic,30,25,22.0,0.513972626
rhc,1,50,44.0,0.020814109
rhc,2,50,36.0,0.019851589
rhc,3,50,41.0,0.020765004
rhc,4,50,38.0,0.021007926
rhc,5,50,39.0,0.021578506
rhc,6,50,42.0,0.021486908
rhc,7,50,40.0,0.02101979
rhc,8,50,43.0,0.021223825
rhc,9,50,38.0,0.021113271
rhc,10,50,43.0,0.024300831
rhc,11,50,41.0,0.027927879
rhc,12,50,41.0,0.027780208
rhc,13,50,41.0,0.027126225
rhc,14,50,41.0,0.023232922
