algo,iter,bitstring_size,val,time
rhc,1,20,20.0,0.051244459
rhc,2,20,20.0,0.036658699
rhc,3,20,20.0,0.0279549
rhc,4,20,20.0,0.018558746
rhc,5,20,20.0,0.020469751
rhc,6,20,20.0,0.019366082
rhc,7,20,20.0,0.019911132
rhc,8,20,20.0,0.034944837
rhc,9,20,20.0,0.042114173
rhc,10,20,20.0,0.013542942
rhc,11,20,20.0,0.015299755
rhc,12,20,20.0,0.015710867
rhc,13,20,20.0,0.014542567
rhc,14,20,20.0,0.014951506
rhc,15,20,20.0,0.017025249
rhc,16,20,20.0,0.041542047
rhc,17,20,20.0,0.043602955
rhc,18,20,20.0,0.04275823
rhc,19,20,20.0,0.016311669
rhc,20,20,20.0,0.018417641
rhc,21,20,20.0,0.020577262
rhc,22,20,20.0,0.014698371
rhc,23,20,20.0,0.015123891
rhc,24,20,20.0,0.018704372
rhc,25,20,20.0,0.014327188
rhc,26,20,20.0,0.016546921
rhc,27,20,20.0,0.016509551
rhc,28,20,20.0,0.016810191
rhc,29,20,20.0,0.017401072
rhc,30,20,20.0,0.026241257
sa,1,20,20.0,0.207484026
sa,2,20,20.0,0.164221928
sa,3,20,20.0,0.170332473
sa,4,20,20.0,0.178154766
sa,5,20,20.0,0.152745991
sa,6,20,20.0,0.143814589
sa,7,20,20.0,0.117171012
sa,8,20,20.0,0.116588439
sa,9,20,20.0,0.115456296
sa,10,20,20.0,0.115353076
sa,11,20,20.0,0.117240295
sa,12,20,20.0,0.119970288
sa,13,20,20.0,0.116676193
sa,14,20,20.0,0.122012313
sa,15,20,20.0,0.117449299
sa,16,20,20.0,0.115300292
sa,17,20,20.0,0.121530695
sa,18,20,20.0,0.121351564
sa,19,20,20.0,0.122151205
sa,20,20,20.0,0.114686594
sa,21,20,20.0,0.119344849
sa,22,20,20.0,0.114842547
sa,23,20,20.0,0.114845728
sa,24,20,20.0,0.117069944
sa,25,20,20.0,0.128873419
sa,26,20,20.0,0.125103683
sa,27,20,20.0,0.122893721
sa,28,20,20.0,0.126114482
sa,29,20,20.0,0.122834581
sa,30,20,20.0,0.125535035
ga,1,20,20.0,0.063469149
ga,2,20,20.0,0.054702222
ga,3,20,20.0,0.050317966
ga,4,20,20.0,0.051360853
ga,5,20,20.0,0.05209537
ga,6,20,20.0,0.051882783
ga,7,20,20.0,0.053815878
ga,8,20,20.0,0.042354421
ga,9,20,20.0,0.041533016
ga,10,20,20.0,0.040759207
ga,11,20,20.0,0.041493791
ga,12,20,20.0,0.047216382
ga,13,20,20.0,0.043701845
ga,14,20,20.0,0.04873384
ga,15,20,20.0,0.049506183
ga,16,20,20.0,0.045577723
ga,17,20,20.0,0.040896613
ga,18,20,20.0,0.046423563
ga,19,20,20.0,0.039748618
ga,20,20,20.0,0.039235933
ga,21,20,20.0,0.040545783
ga,22,20,20.0,0.043670669
ga,23,20,20.0,0.044559235
ga,24,20,20.0,0.04334992
ga,25,20,20.0,0.039947252
ga,26,20,20.0,0.040993402
ga,27,20,20.0,0.042144284
ga,28,20,20.0,0.042334384
ga,29,20,20.0,0.040790987
ga,30,20,20.0,0.041374046
mimic,1,20,20.0,0.514612648
mimic,2,20,20.0,0.392895843
mimic,3,20,20.0,0.398304212
mimic,4,20,20.0,0.402163566
mimic,5,20,20.0,0.396928009
mimic,6,20,20.0,0.396374272
mimic,7,20,20.0,0.399569278
mimic,8,20,20.0,0.407306379
mimic,9,20,20.0,0.394682805
mimic,10,20,20.0,0.394538639
mimic,11,20,20.0,0.40270264
mimic,12,20,20.0,0.415317118
mimic,13,20,20.0,0.402782049
mimic,14,20,20.0,0.431255589
mimic,15,20,20.0,0.419125517
mimic,16,20,20.0,0.430870715
mimic,17,20,20.0,0.420873559
mimic,18,20,20.0,0.444139581
mimic,19,20,20.0,0.422246428
mimic,20,20,20.0,0.425822529
mimic,21,20,20.0,0.467827685
mimic,22,20,20.0,0.422257828
mimic,23,20,20.0,0.418891421
mimic,24,20,20.0,0.415389446
mimic,25,20,20.0,0.41776003
mimic,26,20,20.0,0.408452958
mimic,27,20,20.0,0.413217156
mimic,28,20,20.0,0.41285853
mimic,29,20,20.0,0.415524516
mimic,30,20,20.0,0.413336533
rhc,1,50,50.0,0.025036319
rhc,2,50,50.0,0.020632199
rhc,3,50,50.0,0.019462478
rhc,4,50,50.0,0.02232458
rhc,5,50,50.0,0.020206239
rhc,6,50,50.0,0.02194627
rhc,7,50,50.0,0.022071098
rhc,8,50,50.0,0.025228109
rhc,9,50,50.0,0.023797045
rhc,10,50,50.0,0.026573433
rhc,11,50,50.0,0.024377623
rhc,12,50,50.0,0.021664187
rhc,13,50,50.0,0.023835516
rhc,14,50,50.0,0.023650447
rhc,15,50,50.0,0.024228897
rhc,16,50,50.0,0.02296003
rhc,17,50,50.0,0.024525072
rhc,18,50,50.0,0.026525998
rhc,19,50,50.0,0.02725236
rhc,20,50,50.0,0.027238052
rhc,21,50,50.0,0.026108607
rhc,22,50,50.0,0.023187724
rhc,23,50,50.0,0.020594241
rhc,24,50,50.0,0.022513681
rhc,25,50,50.0,0.026875155
rhc,26,50,50.0,0.023416625
rhc,27,50,50.0,0.023301808
rhc,28,50,50.0,0.023433253
rhc,29,50,50.0,0.022872634
rhc,30,50,50.0,0.02214045
sa,1,50,50.0,0.126530861
sa,2,50,50.0,0.128374849
sa,3,50,50.0,0.120411121
sa,4,50,50.0,0.130029002
sa,5,50,50.0,0.129286888
sa,6,50,50.0,0.127238791
sa,7,50,50.0,0.130335196
sa,8,50,50.0,0.134257178
sa,9,50,50.0,0.129586716
sa,10,50,50.0,0.129022493
sa,11,50,50.0,0.124899488
sa,12,50,50.0,0.130378522
sa,13,50,50.0,0.134725834
sa,14,50,50.0,0.131345579
sa,15,50,50.0,0.1323557
sa,16,50,50.0,0.129847165
sa,17,50,50.0,0.132078857
sa,18,50,50.0,0.127067291
sa,19,50,50.0,0.135648213
sa,20,50,50.0,0.132243957
sa,21,50,50.0,0.130679824
sa,22,50,50.0,0.13513476
sa,23,50,50.0,0.13273844
sa,24,50,50.0,0.142718939
sa,25,50,50.0,0.136628331
sa,26,50,50.0,0.129171624
sa,27,50,50.0,0.130213302
sa,28,50,50.0,0.129387938
sa,29,50,50.0,0.133941608
sa,30,50,50.0,0.128407014
ga,1,50,38.0,0.054289329
ga,2,50,50.0,0.053913095
ga,3,50,36.0,0.054432989
ga,4,50,50.0,0.053843503
ga,5,50,29.0,0.053112973
ga,6,50,43.0,0.053946082
ga,7,50,38.0,0.05849144
ga,8,50,40.0,0.059197958
ga,9,50,37.0,0.056440354
ga,10,50,41.0,0.057190938
ga,11,50,23.0,0.052786839
ga,12,50,31.0,0.055299354
ga,13,50,46.0,0.055368698
ga,14,50,37.0,0.058304261
