algo,iter,bitstring_size,val,time
rhc,1,20,20.0,0.05246646
rhc,2,20,20.0,0.03821573
rhc,3,20,20.0,0.023783338
rhc,4,20,20.0,0.013812235
rhc,5,20,20.0,0.016665177
rhc,6,20,20.0,0.014654597
rhc,7,20,20.0,0.014077852
rhc,8,20,20.0,0.029930963
rhc,9,20,20.0,0.041797526
rhc,10,20,20.0,0.014149411
rhc,11,20,20.0,0.015618295
rhc,12,20,20.0,0.01611751
rhc,13,20,37.0,0.027082438
rhc,14,20,37.0,0.019146702
rhc,15,20,37.0,0.01709191
rhc,16,20,20.0,0.04660187
rhc,17,20,20.0,0.041882014
rhc,18,20,20.0,0.047073519
rhc,19,20,37.0,0.014710346
rhc,20,20,37.0,0.01480644
rhc,21,20,37.0,0.014562421
rhc,22,20,20.0,0.014622865
rhc,23,20,20.0,0.015200612
rhc,24,20,20.0,0.015158971
rhc,25,20,20.0,0.014953993
rhc,26,20,37.0,0.015552868
rhc,27,20,20.0,0.016809153
rhc,28,20,20.0,0.0163264
rhc,29,20,20.0,0.017594677
rhc,30,20,20.0,0.019577409
sa,1,20,37.0,0.1824283
sa,2,20,20.0,0.150358883
sa,3,20,37.0,0.147888157
sa,4,20,37.0,0.14608144
sa,5,20,20.0,0.145322727
sa,6,20,37.0,0.143810642
sa,7,20,37.0,0.117746559
sa,8,20,37.0,0.116395581
sa,9,20,37.0,0.120707984
sa,10,20,37.0,0.117926991
sa,11,20,37.0,0.115668428
sa,12,20,37.0,0.120847632
sa,13,20,20.0,0.116885279
sa,14,20,37.0,0.115617556
sa,15,20,20.0,0.116221339
sa,16,20,37.0,0.116149405
sa,17,20,37.0,0.11576236
sa,18,20,37.0,0.116375581
sa,19,20,37.0,0.116097093
sa,20,20,37.0,0.115909615
sa,21,20,37.0,0.11865757
sa,22,20,37.0,0.117690448
sa,23,20,37.0,0.116790659
sa,24,20,20.0,0.120959932
sa,25,20,37.0,0.122360323
sa,26,20,37.0,0.120193531
sa,27,20,37.0,0.122276064
sa,28,20,37.0,0.125066216
sa,29,20,37.0,0.126144664
sa,30,20,37.0,0.12422382
ga,1,20,37.0,0.066466334
ga,2,20,37.0,0.060080566
ga,3,20,37.0,0.052588844
ga,4,20,37.0,0.050802879
ga,5,20,37.0,0.051099426
ga,6,20,37.0,0.051982738
ga,7,20,37.0,0.048027369
ga,8,20,37.0,0.044834003
ga,9,20,37.0,0.041132334
ga,10,20,37.0,0.040091946
ga,11,20,37.0,0.040680635
ga,12,20,37.0,0.045765364
ga,13,20,37.0,0.042749044
ga,14,20,37.0,0.044749213
ga,15,20,37.0,0.041177177
ga,16,20,37.0,0.041712613
ga,17,20,37.0,0.042008649
ga,18,20,37.0,0.042175971
ga,19,20,37.0,0.043764731
ga,20,20,37.0,0.043590027
ga,21,20,37.0,0.042797767
ga,22,20,37.0,0.045302416
ga,23,20,37.0,0.041792432
ga,24,20,37.0,0.039525845
ga,25,20,37.0,0.039248297
ga,26,20,37.0,0.041097612
ga,27,20,37.0,0.041668638
ga,28,20,37.0,0.043137753
ga,29,20,37.0,0.040574759
ga,30,20,37.0,0.041514367
mimic,1,20,37.0,0.486425248
mimic,2,20,37.0,0.398726602
mimic,3,20,37.0,0.39543077
mimic,4,20,37.0,0.391315908
mimic,5,20,37.0,0.39361193
mimic,6,20,37.0,0.402777698
mimic,7,20,37.0,0.390807566
mimic,8,20,37.0,0.407595323
mimic,9,20,37.0,0.397164386
mimic,10,20,37.0,0.402116005
mimic,11,20,37.0,0.391957177
mimic,12,20,37.0,0.40270712
mimic,13,20,37.0,0.386372254
mimic,14,20,37.0,0.389020098
mimic,15,20,37.0,0.410644305
mimic,16,20,37.0,0.383607317
mimic,17,20,37.0,0.406661171
mimic,18,20,37.0,0.391705945
mimic,19,20,37.0,0.390042779
mimic,20,20,37.0,0.407307543
mimic,21,20,37.0,0.403749878
mimic,22,20,37.0,0.417574684
mimic,23,20,37.0,0.416252659
mimic,24,20,37.0,0.406555422
mimic,25,20,37.0,0.392045542
mimic,26,20,37.0,0.390332662
mimic,27,20,37.0,0.40314151
mimic,28,20,37.0,0.405365456
mimic,29,20,37.0,0.408938668
mimic,30,20,37.0,0.406113473
rhc,1,50,50.0,0.023074251
rhc,2,50,50.0,0.019259545
rhc,3,50,50.0,0.019106136
rhc,4,50,50.0,0.020933914
rhc,5,50,50.0,0.020800365
rhc,6,50,50.0,0.020800386
rhc,7,50,50.0,0.019139326
rhc,8,50,50.0,0.025882069
rhc,9,50,50.0,0.022568583
rhc,10,50,50.0,0.022641219
rhc,11,50,50.0,0.024026655
rhc,12,50,50.0,0.024378335
rhc,13,50,50.0,0.020612862
rhc,14,50,94.0,0.026858612
rhc,15,50,50.0,0.023288174
rhc,16,50,50.0,0.021144944
rhc,17,50,50.0,0.021904398
rhc,18,50,50.0,0.02333445
rhc,19,50,50.0,0.023024771
rhc,20,50,50.0,0.025743564
rhc,21,50,50.0,0.023057369
rhc,22,50,50.0,0.023492436
rhc,23,50,50.0,0.023554207
rhc,24,50,50.0,0.023142134
rhc,25,50,50.0,0.021189693
rhc,26,50,50.0,0.022177334
rhc,27,50,50.0,0.020267629
rhc,28,50,50.0,0.023503372
rhc,29,50,50.0,0.02293445
rhc,30,50,50.0,0.022495371
sa,1,50,50.0,0.128382796
sa,2,50,50.0,0.13807869
sa,3,50,50.0,0.123214655
sa,4,50,50.0,0.128049599
sa,5,50,94.0,0.127034537
sa,6,50,94.0,0.126863836
sa,7,50,50.0,0.119467157
sa,8,50,94.0,0.121319235
sa,9,50,50.0,0.118681551
sa,10,50,94.0,0.127422731
sa,11,50,94.0,0.123085623
sa,12,50,94.0,0.122535641
sa,13,50,94.0,0.124871479
sa,14,50,50.0,0.124781489
sa,15,50,94.0,0.127060364
sa,16,50,94.0,0.120536653
sa,17,50,94.0,0.126066132
sa,18,50,94.0,0.123175859
sa,19,50,94.0,0.124554247
sa,20,50,94.0,0.125107995
sa,21,50,94.0,0.124297532
sa,22,50,50.0,0.122986016
sa,23,50,94.0,0.122085574
sa,24,50,50.0,0.123393495
sa,25,50,94.0,0.123383487
sa,26,50,94.0,0.123706937
sa,27,50,94.0,0.128496618
sa,28,50,94.0,0.127964259
sa,29,50,94.0,0.121573071
sa,30,50,94.0,0.129691826
ga,1,50,68.0,0.054910009
ga,2,50,75.0,0.052670745
ga,3,50,83.0,0.04979939
ga,4,50,71.0,0.051180114
ga,5,50,73.0,0.054743705
ga,6,50,69.0,0.052658928
ga,7,50,73.0,0.049969928
ga,8,50,77.0,0.051313697
ga,9,50,69.0,0.054884975
ga,10,50,75.0,0.056187697
ga,11,50,64.0,0.050603929
ga,12,50,67.0,0.051686346
ga,13,50,80.0,0.049593197
ga,14,50,67.0,0.049069508
ga,15,50,62.0,0.051123598
ga,16,50,77.0,0.054744291
ga,17,50,77.0,0.051986845
ga,18,50,69.0,0.048943999
ga,19,50,72.0,0.051789028
ga,20,50,76.0,0.058538119
ga,21,50,64.0,0.051064637
ga,22,50,86.0,0.052513948
ga,23,50,66.0,0.050066813
ga,24,50,71.0,0.051974558
ga,25,50,74.0,0.05133613
ga,26,50,73.0,0.050426939
ga,27,50,76.0,0.051362216
ga,28,50,68.0,0.050361411
ga,29,50,80.0,0.052176748
ga,30,50,73.0,0.060460686
mimic,1,50,50.0,1.250688461
mimic,2,50,94.0,1.294715971
mimic,3,50,94.0,1.296097642
mimic,4,50,94.0,1.280774236
mimic,5,50,94.0,1.283850567
mimic,6,50,94.0,1.28360086
mimic,7,50,94.0,1.286363619
mimic,8,50,94.0,1.277175207
mimic,9,50,94.0,1.307526635
mimic,10,50,94.0,1.277886796
mimic,11,50,94.0,1.261800847
mimic,12,50,94.0,1.276331496
mimic,13,50,94.0,1.28137319
mimic,14,50,94.0,1.275789333
mimic,15,50,94.0,1.270425921
mimic,16,50,94.0,1.286545087
mimic,17,50,94.0,1.295151892
mimic,18,50,94.0,1.359635449
mimic,19,50,94.0,1.309809133
mimic,20,50,94.0,1.28979777
mimic,21,50,94.0,1.258898023
mimic,22,50,94.0,1.292780074
mimic,23,50,94.0,1.273163576
mimic,24,50,94.0,1.302244763
mimic,25,50,94.0,1.284593568
mimic,26,50,50.0,1.317195084
mimic,27,50,94.0,1.275987508
mimic,28,50,94.0,1.275066699
mimic,29,50,94.0,1.240348063
mimic,30,50,94.0,1.268863653
rhc,1,80,80.0,0.026961833
rhc,2,80,80.0,0.026531229
rhc,3,80,80.0,0.025583383
rhc,4,80,80.0,0.025158461
rhc,5,80,80.0,0.028319968
rhc,6,80,80.0,0.033738459
rhc,7,80,80.0,0.032966469
rhc,8,80,80.0,0.030961012
rhc,9,80,80.0,0.037071704
rhc,10,80,80.0,0.03137436
rhc,11,80,80.0,0.032142011
rhc,12,80,80.0,0.030911423
rhc,13,80,80.0,0.034336538
rhc,14,80,80.0,0.034431556
rhc,15,80,80.0,0.032848964
rhc,16,80,80.0,0.033690808
rhc,17,80,80.0,0.032315674
rhc,18,80,80.0,0.034941607
rhc,19,80,80.0,0.034020501
rhc,20,80,80.0,0.029538126
rhc,21,80,80.0,0.031224983
rhc,22,80,80.0,0.032445889
rhc,23,80,80.0,0.035266943
rhc,24,80,80.0,0.033562086
rhc,25,80,80.0,0.033783921
rhc,26,80,80.0,0.031446072
rhc,27,80,80.0,0.03041433
rhc,28,80,80.0,0.033262357
rhc,29,80,80.0,0.035023846
rhc,30,80,80.0,0.03149787
sa,1,80,151.0,0.130432251
sa,2,80,80.0,0.13350138
sa,3,80,151.0,0.134371074
sa,4,80,151.0,0.130867024
sa,5,80,151.0,0.129743267
sa,6,80,80.0,0.132526255
sa,7,80,80.0,0.128665618
sa,8,80,80.0,0.128440942
sa,9,80,80.0,0.124919562
sa,10,80,80.0,0.138567522
sa,11,80,151.0,0.130365666
sa,12,80,151.0,0.129120587
sa,13,80,151.0,0.135319603
sa,14,80,80.0,0.135268343
sa,15,80,80.0,0.126496185
sa,16,80,80.0,0.134861621
sa,17,80,151.0,0.131738638
sa,18,80,80.0,0.135540522
sa,19,80,80.0,0.13888785
sa,20,80,80.0,0.137415618
sa,21,80,80.0,0.130824608
sa,22,80,80.0,0.137455756
sa,23,80,80.0,0.128315619
sa,24,80,80.0,0.130194168
sa,25,80,80.0,0.128037511
sa,26,80,80.0,0.132297553
sa,27,80,151.0,0.127785288
sa,28,80,80.0,0.130547599
sa,29,80,80.0,0.128599449
sa,30,80,151.0,0.135815126
ga,1,80,102.0,0.062101664
ga,2,80,92.0,0.064517826
ga,3,80,99.0,0.061721938
ga,4,80,103.0,0.068232525
ga,5,80,97.0,0.062153119
ga,6,80,95.0,0.062452247
ga,7,80,105.0,0.065621832
ga,8,80,93.0,0.06344348
ga,9,80,92.0,0.062459265
ga,10,80,93.0,0.065103727
ga,11,80,94.0,0.065962871
ga,12,80,102.0,0.063933501
ga,13,80,101.0,0.067075142
ga,14,80,95.0,0.07006993
ga,15,80,100.0,0.063619128
ga,16,80,29.0,0.063733303
ga,17,80,92.0,0.062316339
ga,18,80,94.0,0.061504801
ga,19,80,92.0,0.060754616
ga,20,80,101.0,0.062573141
ga,21,80,93.0,0.065310954
ga,22,80,94.0,0.064617441
ga,23,80,92.0,0.066888085
ga,24,80,91.0,0.062732635
ga,25,80,98.0,0.063690132
ga,26,80,98.0,0.063876125
ga,27,80,98.0,0.066385545
ga,28,80,99.0,0.066236709
ga,29,80,92.0,0.073679623
ga,30,80,101.0,0.07298714
mimic,1,80,80.0,2.590748653
mimic,2,80,80.0,2.656048562
mimic,3,80,80.0,2.651361299
mimic,4,80,80.0,2.544603849
mimic,5,80,151.0,2.601141744
mimic,6,80,80.0,2.499761354
mimic,7,80,80.0,2.56983093
mimic,8,80,151.0,2.649586409
mimic,9,80,80.0,2.69579413
mimic,10,80,151.0,2.595760723
mimic,11,80,80.0,2.618699985
mimic,12,80,80.0,2.630444108
mimic,13,80,151.0,2.529184366
mimic,14,80,80.0,2.547116948
mimic,15,80,151.0,2.553472197
mimic,16,80,80.0,2.518376937
mimic,17,80,80.0,2.607143742
mimic,18,80,80.0,2.521815737
mimic,19,80,80.0,2.729386095
mimic,20,80,80.0,2.701624076
mimic,21,80,80.0,3.068518724
mimic,22,80,151.0,2.725452131
mimic,23,80,80.0,2.712171022
mimic,24,80,80.0,2.631807078
mimic,25,80,80.0,2.617499135
mimic,26,80,151.0,2.565396029
mimic,27,80,80.0,2.553680937
mimic,28,80,151.0,2.594732015
mimic,29,80,151.0,2.607428716
mimic,30,80,151.0,2.61318259
rhc,1,100,100.0,0.035048065
rhc,2,100,100.0,0.03163073
rhc,3,100,100.0,0.031086247
rhc,4,100,100.0,0.034970437
rhc,5,100,100.0,0.033890674
rhc,6,100,189.0,0.038794026
rhc,7,100,100.0,0.043616953
rhc,8,100,100.0,0.045763117
rhc,9,100,100.0,0.040419284
rhc,10,100,100.0,0.041900764
rhc,11,100,100.0,0.04233319
rhc,12,100,100.0,0.04342893
rhc,13,100,100.0,0.046449858
rhc,14,100,100.0,0.041812602
rhc,15,100,100.0,0.037379159
rhc,16,100,100.0,0.04697149
rhc,17,100,100.0,0.039373919
rhc,18,100,100.0,0.040466403
rhc,19,100,100.0,0.041338371
rhc,20,100,100.0,0.042451729
rhc,21,100,100.0,0.038391316
rhc,22,100,100.0,0.040522793
rhc,23,100,100.0,0.040297979
rhc,24,100,100.0,0.04010571
rhc,25,100,100.0,0.038435185
rhc,26,100,100.0,0.041766797
rhc,27,100,100.0,0.043616362
rhc,28,100,100.0,0.041274163
rhc,29,100,100.0,0.040266343
rhc,30,100,100.0,0.037730154
sa,1,100,100.0,0.142823769
sa,2,100,189.0,0.14215228
sa,3,100,100.0,0.148890104
sa,4,100,100.0,0.142305194
sa,5,100,100.0,0.136730781
sa,6,100,100.0,0.137443655
sa,7,100,100.0,0.144315217
sa,8,100,100.0,0.139771092
sa,9,100,100.0,0.141568045
sa,10,100,100.0,0.143498561
sa,11,100,100.0,0.13915127
sa,12,100,100.0,0.138405286
sa,13,100,100.0,0.140706951
sa,14,100,100.0,0.139950037
sa,15,100,100.0,0.138740383
sa,16,100,100.0,0.136353087
sa,17,100,100.0,0.140064427
sa,18,100,100.0,0.139357154
sa,19,100,100.0,0.137783202
sa,20,100,100.0,0.139027709
sa,21,100,100.0,0.139347799
sa,22,100,100.0,0.138057987
sa,23,100,189.0,0.141595174
sa,24,100,100.0,0.142094517
sa,25,100,100.0,0.141138381
sa,26,100,189.0,0.139747991
sa,27,100,189.0,0.143217268
sa,28,100,100.0,0.144412355
sa,29,100,100.0,0.142214668
sa,30,100,100.0,0.139590151
ga,1,100,22.0,0.079358598
ga,2,100,128.0,0.084827756
ga,3,100,120.0,0.086473454
ga,4,100,118.0,0.078203353
ga,5,100,17.0,0.071708129
ga,6,100,117.0,0.072620424
ga,7,100,120.0,0.073495388
ga,8,100,132.0,0.073930708
ga,9,100,36.0,0.071041383
ga,10,100,115.0,0.072962383
ga,11,100,118.0,0.073166223
ga,12,100,112.0,0.077286648
ga,13,100,117.0,0.071314742
ga,14,100,118.0,0.072511468
ga,15,100,37.0,0.074101874
ga,16,100,128.0,0.07521167
ga,17,100,126.0,0.072185038
ga,18,100,25.0,0.075088006
ga,19,100,29.0,0.073435899
ga,20,100,132.0,0.074945066
ga,21,100,39.0,0.072042812
ga,22,100,18.0,0.077221898
ga,23,100,117.0,0.073242843
ga,24,100,17.0,0.068790182
ga,25,100,127.0,0.079717682
ga,26,100,38.0,0.081749666
ga,27,100,18.0,0.07141613
ga,28,100,120.0,0.074294656
ga,29,100,126.0,0.077116608
ga,30,100,132.0,0.072051229
mimic,1,100,100.0,3.525679525
mimic,2,100,189.0,3.688871486
mimic,3,100,100.0,3.591492372
mimic,4,100,100.0,3.568853876
mimic,5,100,100.0,3.721908081
mimic,6,100,100.0,3.603037532
mimic,7,100,100.0,3.607873912
mimic,8,100,189.0,3.685308108
mimic,9,100,189.0,3.656817703
mimic,10,100,189.0,3.766644432
mimic,11,100,189.0,3.74340849
mimic,12,100,100.0,3.579121456
mimic,13,100,100.0,3.724372829
mimic,14,100,100.0,3.698645721
mimic,15,100,100.0,3.752184693
mimic,16,100,100.0,3.716693382
mimic,17,100,189.0,3.756623788
mimic,18,100,100.0,3.613106643
mimic,19,100,100.0,3.611784473
mimic,20,100,100.0,3.701213026
mimic,21,100,189.0,3.641030152
mimic,22,100,100.0,3.599011946
mimic,23,100,100.0,3.725687445
mimic,24,100,100.0,3.812525249
mimic,25,100,100.0,3.751272704
mimic,26,100,100.0,3.690153995
mimic,27,100,100.0,3.678423545
mimic,28,100,100.0,3.679498552
mimic,29,100,100.0,3.794909979
mimic,30,100,100.0,3.775399996
